Clients Implemented,,,,,,,,Clients Terminated,,,,,
Sl. No.,Client Name,Broker,Design Guide Received date,Implementation Completion Date,Client Go Live Date,Headcount ,,Sl No.,Clients,Broker,Termination Effective Date,EE Headcount,Reason
1,Colite Technologies,"LumberFi, Inc",12/10/2025,1/28/2026,4/6/2026,40,,1,Barnum and Celillo Electric Inc,EPIC,1/31/2026,298,?Moving to BRMS admin
2,Team Altus - E7 Defense,"LumberFi, Inc",2/6/2026,2/23/2026,3/27/2026,11,,2,TetraMem,"	Johnson and Dugan",1/31/2026,54,
3,K and K Inc,"LumberFi, Inc",3/10/2026,6/2/2026,,500,,3,Odyssey Manufacturing Co,"LumberFi, Inc",4/1/2026,90,Moving to Paylocity
4,McBride Building Supply,"LumberFi, Inc",2/27/2026,5/29/2026,6/26/2026,67,,4,Mangieri Electric,"LumberFi, Inc",4/1/2026,19,?Left Lumber
5,Monks Painting,"LumberFi, Inc",5/28/2026,6/22/2026,6/23/2026,8,,5,EOS Fitness,NFP,4/1/2026,1603,
6,Stratus Systems LLC,"LumberFi, Inc",7/18/2025,12/10/2025,4/6/2026,262,,6,United Services Group,"LumberFi, Inc",6/4/2026,223,
7,Precision Group,"LumberFi, Inc",9/12/2025,10/27/2025,1/1/2026,283,,7,NS Giles,"LumberFi, Inc",6/26/2026,145,?Didn’t like Lumber Payroll?
8,Bryan Construction Inc,"LumberFi, Inc",9/17/2025,11/18/2025,1/1/2026,177,,8,SPC Mechanical,"LumberFi, Inc",7/7/2026,295,Moved to BambooHr
9,Quest Building Corp,"LumberFi, Inc",5/21/2025,12/3/2025,1/1/2026,100,,9,Pak-Lite Inc,IMA Financial Group,7/31/2026,102,Consolidating systems
10,Buffalo Framing and Truss LLC,"LumberFi, Inc",4/22/2026,6/11/2026,7/7/2026,96,,10,Fiore and Sons Inc,Holmes Murphy,7/31/2026,369,Employee Navigator
,,,,,,,,,,,,,
,Yet to Live ,,,,,,,,,,,,
11,Bowman Steel LLC,"LumberFi, Inc",1/6/2026,,,,,,,,,,
12,Complete Fence,"LumberFi, Inc",2/18/2026,3/27/2026,,,,,,,,,
13,Horseshoe Construction Inc,"LumberFi, Inc",2/18/2026,6/2/2026,,,,,,,,,
14,JL Walter Associates Inc,"LumberFi, Inc",3/12/2026,,,,,,,,,,
15,Norman S. Wright Climatec,"LumberFi, Inc",4/16/2026,,,199,,,,,,,
16,Engineering Wireless Services,"LumberFi, Inc",3/10/2026,,,54,,,,,,,
17,AC Systems,"LumberFi, Inc",4/23/2026,,,,,,,,,,
18,Advanced Refrigeration and Air Inc,"LumberFi, Inc",4/23/2026,5/7/2026,,221,,,,,,,
19,Jakes Electric LLC,"LumberFi, Inc",4/20/2026,,,,,,,,,,
20,"Recycling Enterprises and Subsidiaries	","LumberFi, Inc",6/5/2026,,,,,,,,,,
21,ADK Electric Corporation,"LumberFi, Inc",8/4/2026,,,,,,,,,,
22,Skyline Restoration Inc,"LumberFi, Inc",5/28/2025,,,250,,,,,,,
23,Integrated Service Company LLC,"LumberFi, Inc",11/14/2025,,,,,,,,,,
24,Virginia Crane,"LumberFi, Inc",8/1/2026,,,,,,,,,,
,,,Total Headcount,,,2018,,,,,Total Headcount,3198,
