S.No,OE Renewal Doc Receive/ Received Date,Client,CRM,Config Analyst,OE Type,"Sort By OE Start Date 
-1 Blackout",OE End Date (EE),OE End Date (HR),OE Effective,Type of OE,Plans with Active OE,Plans with Passive OE,OE Setup Status,Review/Testing Status,Finalization Rules Status,Announcement Email to be Sent By,Reminder Emails Frequency,OE Closure,OE Finalization  Date,HGS Comments
1,2/18/2026,W.T.Rich,Nitya,Pratyush,Full,3/4/2026,3/13/2026,3/13/2026,4/1/2026,Active+Passive,FSA and 401(k),All Plans,Completed,Completed,Received,Configuration Team,,Completed,3/16/2026,"Medical plan rates changes.
DO NOT SEND EMAILS to Union Ees"
2,,Fiore and Sons Inc.,Juan,Vamsi,Full,,,,5/1/2026,,,,,,,,,,,
3,3/25/2026,Stratus Systems LLC,Nitya,Jeevan,Full,"	4/06/2026",4/20/2026,4/20/2026,5/1/2026,Active,All Plans,N/A,Completed,Completed,Received,Configuration Team,On Particular Dates,Completed,4/21/2026,"Medical
We have renamed the existing plans
- MTBCB014 PPO to MTBCB514 PPO
- MTBEE026 HMO to MTBEE526 HMO
Dental
Rate changes
Voluntary Life
GI Rules changes

New Plans added -
Short-Term Disability - (Principal)
HSA - (Flores)
Hospital Indemnity - (Principal)
Accident - (Principal)
Criticall Illness - (Principal)

Plan Terminated -
HSA - (Aflac)
Aflac Group Accident Insurance - (Aflac)
Aflac Group Critical Illness Insurance - (Aflac)
Aflac Group Voluntary Short-Term Disability - (Aflac)

Reminder - 4/7, 4/9,4/11, 4/13, 4/14, 4/15, 4/16, 4/17, 4/18, 4/19, 4/20"
4,4/7/2026,Howard Sheppard LLC,Juan,Vamsi,Full,4/20/2026,5/1/2026,5/1/2026,6/1/2026,Passive,N/A,All Plans,Completed,Completed,Received,Configuration Team,On Particular Dates,Completed,5/4/2026,"Rate Changes for Medical Plans
Blue Open Access POS - Smoker
Blue Open Access POS - Non-Smoker 

Plan Termination - Whole Life - Grandfathered
Reminder - 4/23, 4/26, 4/29, and 4/30"
5,4/25/2026,Evans Contracting Group,Nitya,Vamsi,Full,5/4/2026,5/11/2026,5/11/2026,6/1/2026,Passive,N/A,All Plans,Completed,Completed,Received,Configuration Team,Daily,Completed,5/12/2026,"Rate changes for Medical and Dental Plans
Reminder Emails - 5/5,5/6,5/7,5/8,5/9,5/10,5/11"
6,4/10/2026,K2 Construction,Nitya,Jeevan,Full,5/4/2026,5/20/2026,5/20/2026,6/1/2026,Passive,N/A,All Plans,Completed,Completed,Received,Configuration Team,On Particular Dates,Completed,5/22/2026,"Medical Carrier Change from BlueCross BlueShield 
Nebraska to Medica

Medical New Plan
- Medica National $2500 - Outside Lincoln/Omaha
- Medica National $4000 - Outside Lincoln/Omaha
- Medica National $7000 - Outside Lincoln/Omaha
- Medica National $2500
- Medica National $4000
- Medica National $7000
- Medica Elevate $2500
- Medica Elevate $4000
- Medica Elevate $7000
- Medica CHI $2500
- Medica CHI $4000
- Medica CHI $7000

Medical Plans Terminated
- Medical: NB BlueFreedom Option 39 Rx Option 6 NR - Outside Lincoln/Omaha
- Medical: NB: BlueFreedom Option 69 Rx Option 6 NR - Outside Lincoln/Omaha
- Medical: NB BlueFreedom HSA Option 66 NR - Outside Lincoln/Omaha
- Medical: NB BlueFreedom Option 39 Rx Option 6 NR
- Medical: PSBC BlueFreedom Option 39 Rx Option 6 NR
- Medical: BH BlueFreedom Option 39 Rx Option 6 NR
- Medical: NB: BlueFreedom Option 69 Rx Option 6 NR
- Medical: PSBC BlueFreedom Option 69 Rx Option 6 NR
- Medical: BH BlueFreedom Option 69 Rx Option 6 NR
- Medical: NB BlueFreedom HSA Option 66 NR
- Medical: PSBC BlueFreedom HSA Option 66 NR
- Medical: BH BlueFreedom HSA Option 66 NR

Reminder - 5/8, 5/13, 5/19 at (8am EST)"
7,4/25/2026,Quest Building Corp,Nitya,Jeevan,Full,5/1/2026,5/22/2026,5/22/2026,6/1/2026,Passive,N/A,All Plans,Completed,Completed,Received,Configuration Team,On Particular Dates,Completed,5/26/2026,"Basic Life Rate changes
Reminder Emails - 5/1, 5/8, 5/15, 5/18, 5/19, 5/20, 5/21, 5/22."
8,4/29/2026,Colite Technologies,Nitya,Jeevan,Full,5/6/2026,5/14/2026,5/14/2026,6/1/2026,Passive,N/A,All Plans,Completed,Completed,Received,Configuration Team,Daily,Completed,5/15/2026,"Rate Changes
Medical
New Plan
HSA
Reminder Emails - 5/6, 5/7, 5/8, 5/9, 5/10, 5/11, 5/12, 5/13, 5/14."
9,4/20/2025,Iowa City Community School District,Juan,Pratyush,Full,5/1/2026,5/31/2026,5/31/2026,7/1/2026,Active+Passive,FSA Plans,All Plans,Completed,Completed,Received,Configuration Team,On Particular Dates,Completed,6/2/2026,"No Rate change received
Reminder Emails - Every Other Days"
10,,SPC Mechanical,Nitya,Jeevan,Full,,,,7/1/2026,,,,,,,,,,,
11,,AC Systems,Nitya,,Full,,,,7/1/2026,,,,,,,,,,,
12,6/23/2026,Monks Painting,Nitya,Vamsi,Full,6/23/2026,6/30/2026,6/30/2026,7/1/2026,Passive,N/A,All Plans,Completed,Completed,,Configuration Team,,Completed,7/1/2026,New Client Going with OE
13,7/1/2026,Hammer Williams Company,Juan,Jeevan,Full,7/8/2026,7/14/2026,7/14/2026,8/1/2026,Active+Passive,FSA Plans,All Plans,Completed,Completed,Received,Configuration Team,Daily,Completed,7/16/2026,"Rate Changes - Medical and Vision.
Reminder Email: 7/9, 7/10, 7/11 , 7/12, 7/13, 7/14"
14,6/25/2026,Juneau Construction Company LLC,Juan,Vamsi,Full,7/6/2026,7/15/2026,7/15/2026,8/1/2026,Active+Passive,FSA and Dependent Care FSA,All Plans,Completed,Completed,Received,Configuration Team,On Particular Dates,Completed,7/20/2026,"Rates changes - Medical Plans only.
New Plan - HRA Plan, Pet Insurance Plan
We have added Domestic Partner for the all the plans (Medical, Dental, Vision, Basic life Ad &D, Voluntary Life Plan, Accident, Critical illness).
Reminder Emails: 7/9,7/13,7/15 - 11 am EST"
